Ссылка;Название;Название ин.;Дата выхода;Длительность;Страна;Жанр;Режиссёр;В главных ролях;РейтингКол-во оценок
https://www.kinopoisk.ru//film/5235968/;Кентавр;no eng title;2023;101;Россия;триллер;Кирилл Кемниц;Юра Борисов, Анастасия Талызина;7,7;3525
https://www.kinopoisk.ru//film/927898/;Переводчик;The Covenant;2022;123;Великобритания;боевик;Гай Ричи;Джейк Джилленхол, Дар Салим;7,9;465530
https://www.kinopoisk.ru//film/4664634/;Оппенгеймер;Oppenheimer;2023;180;США;биография;Кристофер Нолан;Киллиан Мерфи, Джош Хартнетт;0;0
https://www.kinopoisk.ru//film/1045082/;Круче некуда;Hidden Strike;2023;102;Китай;боевик;Скотт Во;Джеки Чан, Джон Сина;0;2208
https://www.kinopoisk.ru//film/1044280/;Стражи Галактики. Часть 3;Guardians of the Galaxy Vol. 3;2023;150;США;фантастика;Джеймс Ганн;Крис Пратт, Карен Гиллан;8,3;94436
https://www.kinopoisk.ru//film/937438/;Трансформеры: Восхождение Звероботов;Transformers: Rise of the Beasts;2023;127;США;фантастика;Стивен Кейпл мл.;Доминик Фишбэк, Энтони Рамос;0;15990
https://www.kinopoisk.ru//film/1219177/;Человек-паук: Паутина вселенных;Spider-Man: Across the Spider-Verse;2023;140;США;мультфильм;Жуакин Душ Сантуш;Шамеик Мур, Хейли Стайнфелд;8,7;52836
https://www.kinopoisk.ru//film/1319157/;Гипнотик;Hypnotic;2023;93;США;боевик;Роберт Родригес;Бен Аффлек, Алиси Брага;0;12410
https://www.kinopoisk.ru//film/4485219/;Снегирь;no eng title;2023;116;Россия;драма;Борис Хлебников;Александр Робак, Тимофей Трибунцев;7,1;37626
https://www.kinopoisk.ru//film/478052/;Барби;Barbie;2023;114;Великобритания;фэнтези;Грета Гервиг;Марго Робби, Кингсли Бен-Адир;0;0
https://www.kinopoisk.ru//film/4448519/;Вызов;no eng title;2023;164;Россия;драма;Клим Шипенко;Юлия Пересильд, Милош Бикович;7,5;114648
https://www.kinopoisk.ru//film/1267348/;Джон Уик 4;John Wick: Chapter 4;2023;169;США;боевик;Чад Стахелски;Киану Ривз, Донни Йен;7,6;383255
https://www.kinopoisk.ru//film/4632862/;Кунг-фу жеребец;Long ma jing shen;2023;126;Китай;комедия;Ларри Ян;Джеки Чан, Лю Хаоцюнь;8,1;262707
https://www.kinopoisk.ru//film/4395987/;Город астероидов;Asteroid City;2023;105;США;драма;Уэс Андерсон;Брайан Крэнстон, Эдвард Нортон;0;2845
https://www.kinopoisk.ru//film/1229684/;Миссия: невыполнима. Смертельная расплата, часть 1;Mission: Impossible - Dead Reckoning Part One;2023;163;США;боевик;Кристофер Маккуорри;Том Круз, Хейли Этвелл;7,7;2378
https://www.kinopoisk.ru//film/959062/;Форсаж 10;Fast X;2023;141;США;боевик;Луи Летерье;Вин Дизель, Мишель Родригес;0;41288
https://www.kinopoisk.ru//film/762646/;Подземелья и драконы: Честь среди воров;Dungeons & Dragons: Honor Among Thieves;2023;134;США;фэнтези;Джон Фрэнсис Дейли;Крис Пайн, Мишель Родригес;7,5;47864
https://www.kinopoisk.ru//film/4833824/;Жанна Дюбарри;Jeanne du Barry;2023;113;Франция;драма;Майвенн;Майвенн, Джонни Депп;7,3;2810
https://www.kinopoisk.ru//film/5236765/;Непосредственно Каха. Другой фильм;no eng title;2023;90;Россия;комедия;Виктор Шамиров;Артем Карокозян, Артем Калайджян;0;43979
https://www.kinopoisk.ru//film/5275397/;Хотя бы в кино 2;   2;2023;0;Казахстан;комедия;Ернар Нургалиев;Кайрат Адилгерей, Дарига Бадыкова;7,3;5805
https://www.kinopoisk.ru//film/4889667/;Элементарно;Elemental;2023;101;США;мультфильм;Питер Сон;Леа Льюис, Мамуду Ати;7,6;7773
https://www.kinopoisk.ru//film/5059689/;Обещание;no eng title;2022;93;Россия;драма;Red Ray;Red Ray, Кристина Беккер;0;7405
https://www.kinopoisk.ru//film/1143242/;Джентльмены;The Gentlemen;2019;113;Великобритания;криминал;Гай Ричи;Мэттью МакКонахи, Чарли Ханнэм;8,6;0
https://www.kinopoisk.ru//film/468846/;Индиана Джонс и колесо судьбы;Indiana Jones and the Dial of Destiny;2023;154;США;боевик;Джеймс Мэнголд;Харрисон Форд, Фиби Уоллер-Бридж;0;4356
https://www.kinopoisk.ru//film/4489519/;14+ Продолжение;no eng title;2023;133;Россия;мелодрама;Андрей Зайцев;Глеб Калюжный, Ульяна Васькович;0;17787
https://www.kinopoisk.ru//film/1263902/;Мизантроп;To Catch A Killer;2022;119;США;боевик;Дамиан Сифрон;Шейлин Вудли, Бен Мендельсон;7,1;168232
https://www.kinopoisk.ru//film/999881/;Русалочка;The Little Mermaid;2023;135;США;фэнтези;Роб Маршалл;Холли Бейли, Джона Хауэр-Кинг;0;23394
https://www.kinopoisk.ru//film/4629912/;Птичий короб: Барселона;Bird Box: Barcelona;2023;110;Испания;ужасы;Давид Пастор;Джорджина Кэмпбелл, Марио Касас;0;0
https://www.kinopoisk.ru//film/4414620/;Он — это пуля;God Is a Bullet;2023;156;Мексика;боевик;Ник Кассаветис;Николай Костер-Вальдау, Майка Монро;0;912
https://www.kinopoisk.ru//film/4850225/;Астрал 5: Красная дверь;Insidious: The Red Door;2023;107;Канада;ужасы;Патрик Уилсон;Тай Симпкинс, Патрик Уилсон;0;2281
https://www.kinopoisk.ru//film/1405508/;Операция «Фортуна»: Искусство побеждать;Operation Fortune: Ruse de Guerre;2022;114;Великобритания;боевик;Гай Ричи;Джейсон Стэйтем, Обри Плаза;7,1;554481
https://www.kinopoisk.ru//film/4703806/;Мегалодон;The Black Demon;2023;100;США;ужасы;Адриан Грюнберг;Джош Лукас, Фернанда Уррехола;0;44301
https://www.kinopoisk.ru//film/4368100/;Три мушкетера: Д’Артаньян;Les trois mousquetaires: D'Artagnan;2023;121;Франция;боевик;Мартин Бурбулон;Франсуа Сивиль, Венсан Кассель;7,0;177060
https://www.kinopoisk.ru//film/5106076/;Моя вина;Culpa ma;2023;117;Испания;драма;Доминго Гонсалес;Николь Уоллес, Габриель Гевара;7,2;16142
https://www.kinopoisk.ru//film/920265/;Человек-паук: Через вселенные;Spider-Man: Into the Spider-Verse;2018;117;Канада;мультфильм;Боб Персичетти;Шамеик Мур, Джейк Джонсон;8,2;506198
https://www.kinopoisk.ru//film/462682/;Волк с Уолл-стрит;The Wolf of Wall Street;2013;180;США;драма;Мартин Скорсезе;Леонардо ДиКаприо, Джона Хилл;8,0;0
https://www.kinopoisk.ru//film/1437923/;Наполеон;Napoleon;2023;158;Великобритания;биография;Ридли Скотт;Хоакин Феникс, Ванесса Кирби;0;0
https://www.kinopoisk.ru//film/4383782/;Все страхи Бо;Beau Is Afraid;2023;179;США;комедия;Ари Астер;Хоакин Феникс, Пэтти ЛюПон;0;30770
https://www.kinopoisk.ru//film/258687/;Интерстеллар;Interstellar;2014;169;США;фантастика;Кристофер Нолан;Мэттью МакКонахи, Энн Хэтэуэй;8,6;883198
https://www.kinopoisk.ru//film/1392550/;Быстрее пули;Bullet Train;2022;126;США;боевик;Дэвид Литч;Брэд Питт, Джои Кинг;7,7;164928
https://www.kinopoisk.ru//film/505898/;Аватар: Путь воды;Avatar: The Way of Water;2022;192;США;фантастика;Джеймс Кэмерон;Сэм Уортингтон, Зои Салдана;7,8;127369
https://www.kinopoisk.ru//film/361/;Бойцовский клуб;Fight Club;1999;139;США;триллер;Дэвид Финчер;Эдвард Нортон, Брэд Питт;8,7;868729
https://www.kinopoisk.ru//film/195483/;Флэш;The Flash;2023;144;США;фантастика;Андрес Мускетти;Эзра Миллер, Майкл Китон;0;7734
https://www.kinopoisk.ru//film/5322925/;Кукла. Реинкарнация зла;Home for Rent;2023;124;Таиланд;ужасы;Сопон Сукдаписит;Нитта Йираюнгюрн, Суколлават Канарот;0;0
https://www.kinopoisk.ru//film/1322324/;Всё везде и сразу;Everything Everywhere All at Once;2021;139;США;фантастика;Дэн Кван;Мишель Йео, Джейми Ли Кёртис;7,2;493134
https://www.kinopoisk.ru//film/4370148/;Чебурашка;no eng title;2022;113;Россия;семейный;Дмитрий Дьяченко;Сергей Гармаш, Ольга Кузьмина;7,3;371576
https://www.kinopoisk.ru//film/4769135/;Судзумэ, закрывающая двери;Suzume no tojimari;2022;121;Япония;аниме;Макото Синкай;Нанока Хара, Хокуто Мацумура;7,8;8497
https://www.kinopoisk.ru//film/1071383/;Как поживаете?;Kimitachi wa Dou Ikiru ka?;2023;125;Япония;аниме;Хаяо Миядзаки;no main roles;0;0
https://www.kinopoisk.ru//film/447301/;Начало;Inception;2010;148;США;фантастика;Кристофер Нолан;Леонардо ДиКаприо, Джозеф Гордон-Левитт;8,7;928452
https://www.kinopoisk.ru//film/4700336/;Моё прекрасное несчастье;Beautiful Disaster;2022;105;США;комедия;Роджер Камбл;Дилан Спроус, Вирджиния Гарднер;0;172137
https://www.kinopoisk.ru//film/49166/;Коралина в Стране Кошмаров;Coraline;2008;100;США;мультфильм;Генри Селик;Дакота Фаннинг, Кит Дэвид;7,8;219378
https://www.kinopoisk.ru//film/843772/;Фантастические твари: Тайны Дамблдора;Fantastic Beasts: The Secrets of Dumbledore;2022;142;Великобритания;фэнтези;Дэвид Йейтс;Эдди Редмэйн, Джуд Лоу;0;95378
https://www.kinopoisk.ru//film/336/;Пролетая над гнездом кукушки;One Flew Over the Cuckoo's Nest;1975;133;США;драма;Милош Форман;Джек Николсон, Луиза Флетчер;8,5;330740
https://www.kinopoisk.ru//film/466/;Малхолланд Драйв;Mulholland Dr.;2001;147;США;триллер;Дэвид Линч;Наоми Уоттс, Лаура Хэрринг;7,7;141674
https://www.kinopoisk.ru//film/378140/;Рок-н-рольщик;RocknRolla;2008;114;Великобритания;криминал;Гай Ричи;Джерард Батлер, Том Уилкинсон;7,8;288817
