Ссылка;Название;Название ин.;Дата выхода;Длительность;Страна;Жанр;Режиссёр;В главных ролях;РейтингКол-во оценок
https://www.kinopoisk.ru//film/435/;Зеленая миля;The Green Mile;1999;189;США;драма;Фрэнк Дарабонт;Том Хэнкс, Дэвид Морс;9,2;124445
https://www.kinopoisk.ru//film/326/;Побег из Шоушенка;The Shawshank Redemption;1994;142;США;драма;Фрэнк Дарабонт;Тим Роббинс, Морган Фриман;9,0;104034
https://www.kinopoisk.ru//film/448/;Форрест Гамп;Forrest Gump;1994;142;США;драма;Роберт Земекис;Том Хэнкс, Робин Райт;9,0;121919
https://www.kinopoisk.ru//film/329/;Список Шиндлера;Schindler's List;1993;195;США;драма;Стивен Спилберг;Лиам Нисон, Бен Кингсли;9,0;56499
https://www.kinopoisk.ru//film/679486/;Тайна Коко;Coco;2017;105;США;мультфильм;Ли Анкрич;Энтони Гонсалес, Гаэль Гарсиа Берналь;8,9;123236
https://www.kinopoisk.ru//film/3498/;Властелин колец: Возвращение короля;The Lord of the Rings: The Return of the King;2003;201;Новая;фэнтези;Питер Джексон;Элайджа Вуд, Вигго Мортенсен;8,9;39808
https://www.kinopoisk.ru//film/535341/;1+1;Intouchables;2011;112;Франция;драма;Оливье Накаш;Франсуа Клюзе, Омар Си;8,9;182652
https://www.kinopoisk.ru//film/258687/;Интерстеллар;Interstellar;2014;169;США;фантастика;Кристофер Нолан;Мэттью МакКонахи, Энн Хэтэуэй;8,8;95138
https://www.kinopoisk.ru//film/370/;Унесённые призраками;Sen to Chihiro no kamikakushi;2001;125;Япония;аниме;Хаяо Миядзаки;Руми Хиираги, Мию Ирино;8,8;81597
https://www.kinopoisk.ru//film/361/;Бойцовский клуб;Fight Club;1999;139;США;триллер;Дэвид Финчер;Эдвард Нортон, Брэд Питт;8,8;195729
https://www.kinopoisk.ru//film/342/;Криминальное чтиво;Pulp Fiction;1994;154;США;криминал;Квентин Тарантино;Джон Траволта, Сэмюэл Л. Джексон;8,8;118423
https://www.kinopoisk.ru//film/328/;Властелин колец: Братство Кольца;The Lord of the Rings: The Fellowship of the Ring;2001;178;Новая;фэнтези;Питер Джексон;Элайджа Вуд, Иэн Маккеллен;8,8;52807
https://www.kinopoisk.ru//film/42664/;Иван Васильевич меняет профессию;no eng title;1973;88;СССР;комедия;Леонид Гайдай;Александр Демьяненко, Юрий Яковлев;8,8;133021
https://www.kinopoisk.ru//film/312/;Властелин колец: Две крепости;The Lord of the Rings: The Two Towers;2002;179;Новая;фэнтези;Питер Джексон;Элайджа Вуд, Иэн Маккеллен;8,8;37092
https://www.kinopoisk.ru//film/2360/;Король Лев;The Lion King;1994;88;США;мультфильм;Роджер Аллерс;Мэттью Бродерик, Джереми Айронс;8,8;67233
https://www.kinopoisk.ru//film/476/;Назад в будущее;Back to the Future;1985;116;США;фантастика;Роберт Земекис;Майкл Дж. Фокс, Кристофер Ллойд;8,8;79854
https://www.kinopoisk.ru//film/77263/;Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей;no eng title;1981;154;СССР;детектив;Игорь Масленников;Василий Ливанов, Виталий Соломин;8,8;48046
https://www.kinopoisk.ru//film/430/;Шрэк;Shrek;2001;90;США;мультфильм;Эндрю Адамсон;Майк Майерс, Эдди Мерфи;8,7;145279
https://www.kinopoisk.ru//film/77269/;Шерлок Холмс и доктор Ватсон: Знакомство;no eng title;1979;68;СССР;криминал;Игорь Масленников;Василий Ливанов, Виталий Соломин;8,7;56683
https://www.kinopoisk.ru//film/32898/;Достучаться до небес;Knockin' on Heaven's Door;1997;87;Германия;драма;Томас Ян;Тиль Швайгер, Ян Йозеф Лиферс;8,7;103822
https://www.kinopoisk.ru//film/46708/;Москва слезам не верит;no eng title;1979;150;СССР;мелодрама;Владимир Меньшов;Вера Алентова, Ирина Муравьёва;8,7;130039
https://www.kinopoisk.ru//film/397667/;Остров проклятых;Shutter Island;2009;138;США;триллер;Мартин Скорсезе;Леонардо ДиКаприо, Марк Руффало;8,7;152187
https://www.kinopoisk.ru//film/44386/;Джентльмены удачи;no eng title;1971;84;СССР;комедия;Александр Серый;Евгений Леонов, Георгий Вицин;8,7;124376
https://www.kinopoisk.ru//film/279102/;ВАЛЛ·И;WALLE;2008;98;США;мультфильм;Эндрю Стэнтон;Бен Бертт, Элисса Найт;8,7;82116
https://www.kinopoisk.ru//film/322/;Гарри Поттер и узник Азкабана;Harry Potter and the Prisoner of Azkaban;2004;142;Великобритания;фэнтези;Альфонсо Куарон;Дэниэл Рэдклифф, Руперт Гринт;8,7;108053
https://www.kinopoisk.ru//film/444/;Терминатор 2: Судный день;Terminator 2: Judgment Day;1991;137;США;фантастика;Джеймс Кэмерон;Арнольд Шварценеггер, Линда Хэмилтон;8,7;77567
https://www.kinopoisk.ru//film/49684/;Ходячий замок;Howl no Ugoku Shiro;2004;119;Япония;аниме;Хаяо Миядзаки;Тиэко Байсё, Такуя Кимура;8,7;68689
https://www.kinopoisk.ru//film/44168/;Девчата;no eng title;1962;92;СССР;мелодрама;Юрий Чулюкин;Надежда Румянцева, Николай Рыбников;8,7;120294
https://www.kinopoisk.ru//film/42782/;Операция «Ы» и другие приключения Шурика;no eng title;1965;95;СССР;комедия;Леонид Гайдай;Александр Демьяненко, Наталья Селезнёва;8,7;139029
https://www.kinopoisk.ru//film/111543/;Темный рыцарь;The Dark Knight;2008;152;США;фантастика;Кристофер Нолан;Кристиан Бэйл, Хит Леджер;8,7;69872
https://www.kinopoisk.ru//film/1143242/;Джентльмены;The Gentlemen;2019;113;Великобритания;криминал;Гай Ричи;Мэттью МакКонахи, Чарли Ханнэм;8,7;362403
https://www.kinopoisk.ru//film/689/;Гарри Поттер и философский камень;Harry Potter and the Sorcerer's Stone;2001;152;Великобритания;фэнтези;Крис Коламбус;Дэниэл Рэдклифф, Руперт Гринт;8,6;187538
https://www.kinopoisk.ru//film/43395/;...А зори здесь тихие;no eng title;1972;160;СССР;драма;Станислав Ростоцкий;Елена Драпеко, Екатерина Маркова;8,6;32115
https://www.kinopoisk.ru//film/4374/;Пираты Карибского моря: Проклятие Черной жемчужины;Pirates of the Caribbean: The Curse of the Black Pearl;2003;143;США;фэнтези;Гор Вербински;Джонни Депп, Джеффри Раш;8,6;158418
https://www.kinopoisk.ru//film/447301/;Начало;Inception;2010;148;США;фантастика;Кристофер Нолан;Леонардо ДиКаприо, Джозеф Гордон-Левитт;8,6;66457
https://www.kinopoisk.ru//film/324/;Поймай меня, если сможешь;Catch Me If You Can;2002;141;США;криминал;Стивен Спилберг;Леонардо ДиКаприо, Том Хэнкс;8,6;154901
https://www.kinopoisk.ru//film/42770/;Они сражались за Родину;no eng title;1975;160;СССР;драма;Сергей Бондарчук;Василий Шукшин, Вячеслав Тихонов;8,6;41425
https://www.kinopoisk.ru//film/474/;Гладиатор;Gladiator;2000;155;США;история;Ридли Скотт;Рассел Кроу, Хоакин Феникс;8,6;83206
https://www.kinopoisk.ru//film/2213/;Титаник;Titanic;1997;194;США;мелодрама;Джеймс Кэмерон;Леонардо ДиКаприо, Кейт Уинслет;8,6;132726
https://www.kinopoisk.ru//film/526/;Большой куш;Snatch;2000;104;Великобритания;криминал;Гай Ричи;Джейсон Стэйтем, Стивен Грэм;8,6;118072
https://www.kinopoisk.ru//film/957887/;Клаус;Klaus;2019;96;Испания;мультфильм;Серхио Паблос;Джейсон Шварцман, Дж.К. Симмонс;8,6;22748
https://www.kinopoisk.ru//film/1219177/;Человек-паук: Паутина вселенных;Spider-Man: Across the Spider-Verse;2023;140;США;мультфильм;Жуакин Душ Сантуш;Шамеик Мур, Хейли Стайнфелд;8,6;51317
https://www.kinopoisk.ru//film/77335/;Собачье сердце;no eng title;1988;136;СССР;фантастика;Владимир Бортко;Владимир Толоконников, Евгений Евстигнеев;8,6;76053
https://www.kinopoisk.ru//film/407636/;Гарри Поттер и Дары Смерти: Часть II;Harry Potter and the Deathly Hallows: Part 2;2011;130;Великобритания;фэнтези;Дэвид Йейтс;Дэниэл Рэдклифф, Руперт Гринт;8,6;75012
https://www.kinopoisk.ru//film/688/;Гарри Поттер и Тайная комната;Harry Potter and the Chamber of Secrets;2002;161;Великобритания;фэнтези;Крис Коламбус;Дэниэл Рэдклифф, Руперт Гринт;8,6;121560
https://www.kinopoisk.ru//film/8124/;Один дома;Home Alone;1990;103;США;комедия;Крис Коламбус;Маколей Калкин, Джо Пеши;8,6;259677
https://www.kinopoisk.ru//film/46225/;Бриллиантовая рука;no eng title;1968;94;СССР;комедия;Леонид Гайдай;Юрий Никулин, Андрей Миронов;8,6;100476
https://www.kinopoisk.ru//film/44745/;Кавказская пленница, или Новые приключения Шурика;no eng title;1966;82;СССР;комедия;Леонид Гайдай;Александр Демьяненко, Наталья Варлей;8,6;112406
https://www.kinopoisk.ru//film/25108/;В бой идут одни «старики»;no eng title;1973;87;СССР;военный;Леонид Быков;Леонид Быков, Сергей Подгорный;8,6;59924
https://www.kinopoisk.ru//film/1108577/;Зеленая книга;Green Book;2018;130;США;биография;Питер Фаррелли;Вигго Мортенсен, Махершала Али;8,6;187169
https://www.kinopoisk.ru//film/854/;Такси 2;Taxi 2;2000;88;Франция;боевик;Жерар Кравчик;Сами Насери, Фредерик Дифенталь;8,0;58936
https://www.kinopoisk.ru//film/453406/;Безумный Макс: Дорога ярости;Mad Max: Fury Road;2015;120;Австралия;боевик;Джордж Миллер;Том Харди, Шарлиз Терон;8,0;35045
https://www.kinopoisk.ru//film/7108/;Кто подставил кролика Роджера;Who Framed Roger Rabbit;1988;103;США;мультфильм;Роберт Земекис;Боб Хоскинс, Кристофер Ллойд;8,0;16323
https://www.kinopoisk.ru//film/77443/;Город грехов;Sin City;2005;124;США;боевик;Фрэнк Миллер;Брюс Уиллис, Микки Рурк;8,0;31857
https://www.kinopoisk.ru//film/15139/;Куда приводят мечты;What Dreams May Come;1998;113;США;фэнтези;Винсент Уорд;Робин Уильямс, Кьюба Гудинг мл.;8,0;17724
https://www.kinopoisk.ru//film/1024435/;Это чертово сердце;Dieses bescheuerte Herz;2017;104;Германия;драма;Марк Ротемунд;Элиас М’Барек, Филип Шварц;8,0;18244
https://www.kinopoisk.ru//film/2494/;Казино;Casino;1995;171;США;драма;Мартин Скорсезе;Роберт Де Ниро, Шэрон Стоун;8,0;11063
https://www.kinopoisk.ru//film/716041/;Жизнь Кабачка;Ma vie de Courgette;2016;66;Швейцария;мультфильм;Клод Баррас;Гаспар Шлэттер, Сикстин Мюра;8,0;5470
https://www.kinopoisk.ru//film/46376/;Небесный тихоход;no eng title;1945;83;СССР;комедия;Семен Тимошенко;Николай Крючков, Василий Меркурьев;8,0;9771
https://www.kinopoisk.ru//film/1048334/;Джокер;Joker;2019;122;США;драма;Тодд Филлипс;Хоакин Феникс, Роберт Де Ниро;8,0;60123
https://www.kinopoisk.ru//film/325439/;Чтец;The Reader;2008;124;США;драма;Стивен Долдри;Рэйф Файнс, Кейт Уинслет;8,0;18617
https://www.kinopoisk.ru//film/46683/;Молодая жена;no eng title;1978;97;СССР;драма;Леонид Менакер;Анна Каменкова, Владлен Бирюков;8,0;14735
https://www.kinopoisk.ru//film/1996/;Грязные танцы;Dirty Dancing;1987;100;США;драма;Эмиль Ардолино;Дженнифер Грей, Патрик Суэйзи;8,0;28719
https://www.kinopoisk.ru//film/963343/;Форма голоса;Koe no katachi;2016;130;Япония;аниме;Наоко Ямада;Мию Ирино, Саори Хаями;8,0;17019
https://www.kinopoisk.ru//film/495518/;Один день;One Day;2011;103;США;драма;Лоне Шерфиг;Энн Хэтэуэй, Джим Стёрджесс;8,0;31286
https://www.kinopoisk.ru//film/846875/;Восточный ветер 2;Ostwind 2;2015;103;Германия;драма;Катя фон Гарнье;Атила, Ханна Бинке;8,0;10542
https://www.kinopoisk.ru//film/46318/;Освобождение: Направление главного удара;no eng title;1970;123;СССР;драма;Юрий Озеров;Михаил Ульянов, Владлен Давыдов;8,0;6598
https://www.kinopoisk.ru//film/439/;Город бога;Cidade de Deus;2002;130;Бразилия;драма;Фернанду Мейреллиш;Алешандре Родригис, Леандру Фирмину;8,0;46329
https://www.kinopoisk.ru//film/887535/;Не/смотря ни на что;Mein Blind Date mit dem Leben;2017;111;Германия;комедия;Марк Ротемунд;Костя Улльман, Якоб Маченц;8,0;43506
https://www.kinopoisk.ru//film/806934/;Голос;Boychoir;2014;103;США;драма;Франсуа Жирар;Дастин Хоффман, Кэти Бейтс;8,0;19547
https://www.kinopoisk.ru//film/843686/;Лермонтов;no eng title;2014;69;Россия;драма;Максим Беспалый;Владимир Аблогин, Анна Леванова;8,0;28494
https://www.kinopoisk.ru//film/464561/;Цветы войны;Jin ling shi san chai;2011;146;Китай;военный;Чжан Имоу;Кристиан Бэйл, Ни Ни;8,0;11629
https://www.kinopoisk.ru//film/464/;Человек-слон;The Elephant Man;1980;125;США;драма;Дэвид Линч;Энтони Хопкинс, Джон Хёрт;7,9;5488
https://www.kinopoisk.ru//film/8232/;Спящая красавица;Sleeping Beauty;1958;75;США;мультфильм;Клайд Джероними;Мэри Коста, Билл Ширли;7,9;15568
https://www.kinopoisk.ru//film/77339/;Труффальдино из Бергамо;no eng title;1976;138;СССР;мюзикл;Владимир Воробьев;Константин Райкин, Наталья Гундарева;7,9;10551
https://www.kinopoisk.ru//film/44623/;Гусарская баллада;no eng title;1962;96;СССР;мюзикл;Эльдар Рязанов;Лариса Голубкина, Юрий Яковлев;7,9;12503
https://www.kinopoisk.ru//film/196604/;Нефть;There Will Be Blood;2007;158;США;драма;Пол Томас Андерсон;Дэниэл Дэй-Льюис, Пол Дано;7,9;13218
https://www.kinopoisk.ru//film/959365/;Невидимый гость;Contratiempo;2016;106;Испания;триллер;Ориол Паоло;Марио Касас, Ана Вахенер;7,9;31627
https://www.kinopoisk.ru//film/571/;Схватка;Heat;1995;171;США;боевик;Майкл Манн;Аль Пачино, Роберт Де Ниро;7,9;14258
https://www.kinopoisk.ru//film/413362/;Миллионер из трущоб;Slumdog Millionaire;2008;120;Великобритания;криминал;Дэнни Бойл;Дев Патель, Фрида Пинто;7,9;32127
https://www.kinopoisk.ru//film/6034/;Невероятная жизнь Уолтера Митти;The Secret Life of Walter Mitty;2013;114;США;комедия;Бен Стиллер;Бен Стиллер, Кристен Уиг;7,9;42741
https://www.kinopoisk.ru//film/42308/;Три тополя на Плющихе;no eng title;1968;79;СССР;мелодрама;Татьяна Лиознова;Татьяна Доронина, Олег Ефремов;7,9;10987
https://www.kinopoisk.ru//film/51481/;Хористы;Les Choristes;2004;95;Франция;драма;Кристоф Барратье;Жерар Жюньо, Франсуа Берлеан;7,9;5039
https://www.kinopoisk.ru//film/158786/;Жизнь Пи;Life of Pi;2012;127;США;фэнтези;Энг Ли;Сурадж Шарма, Ирфан Кхан;7,9;32884
https://www.kinopoisk.ru//film/8228/;Призрак в доспехах;Koukaku Kidoutai;1995;82;Япония;аниме;Мамору Осии;Ацуко Танака, Акио Оцука;7,9;7734
https://www.kinopoisk.ru//film/43332/;Проверка на дорогах;no eng title;1971;97;СССР;драма;Алексей Герман;Ролан Быков, Анатолий Солоницын;7,9;5378
