Ссылка;Название;Название ин.;Дата выхода;Длительность;Страна;Жанр;Режиссёр;В главных ролях;РейтингКол-во оценок
https://www.kinopoisk.ru//film/43395/;...А зори здесь тихие;no eng title;1972;160;СССР;драма;Станислав Ростоцкий;Елена Драпеко, Екатерина Маркова;8,5;246469
https://www.kinopoisk.ru//film/43451/;Александр Маленький;no eng title;1981;94;СССР;драма;Владимир Фокин;Борис Токарев, Юрий Назаров;7,8;4270
https://www.kinopoisk.ru//film/43445/;Альпийская баллада;no eng title;1965;92;СССР;драма;Борис Степанов;Любовь Румянцева, Станислав Любшин;7,2;2809
https://www.kinopoisk.ru//series/405627/;Апостол;no eng title;2008;600;Россия;боевик;Юрий Мороз;Евгений Миронов, Николай Фоменко;8,0;78868
https://www.kinopoisk.ru//film/43553/;Аты-баты, шли солдаты...;no eng title;1976;82;СССР;драма;Леонид Быков;Леонид Быков, Владимир Конкин;8,2;56543
https://www.kinopoisk.ru//film/46005/;Бабье царство;no eng title;1967;97;СССР;драма;Алексей Салтыков;Римма Маркова, Светлана Суховей;7,4;1990
https://www.kinopoisk.ru//film/46019/;Баллада о солдате;no eng title;1959;89;СССР;драма;Григорий Чухрай;Владимир Ивашов, Жанна Прохоренко;8,3;56962
https://www.kinopoisk.ru//film/46022/;Балтийское небо;no eng title;1960;172;СССР;драма;Владимир Венгеров;Петр Глебов, Всеволод Платов;7,5;2943
https://www.kinopoisk.ru//series/81482/;Батальоны просят огня;no eng title;1985;285;СССР;драма;Александр Боголюбов;Александр Збруев, Борислав Брондуков;8,3;19152
https://www.kinopoisk.ru//film/46134/;Белая птица с черной отметиной;no eng title;1970;99;СССР;драма;Юрий Ильенко;Иван Миколайчук, Богдан Ступка;7,3;1788
https://www.kinopoisk.ru//film/46063/;Белорусский вокзал;no eng title;1970;95;СССР;драма;Андрей Смирнов;Евгений Леонов, Анатолий Папанов;8,2;43206
https://www.kinopoisk.ru//film/46078/;Белый взрыв;no eng title;1969;75;СССР;боевик;Станислав Говорухин;Армен Джигарханян, Людмила Гурченко;6,9;1783
https://www.kinopoisk.ru//film/46091/;Берлин;no eng title;1945;63;СССР;документальный;Юлий Райзман;Уильям С. Гэйлмор, Карл Спаатс;7,0;765
https://www.kinopoisk.ru//film/46099/;Беспокойное хозяйство;no eng title;1946;85;СССР;мюзикл;Михаил Жаров;Людмила Целиковская, Александр Граве;7,3;3047
https://www.kinopoisk.ru//film/46103/;Бессмертный гарнизон;no eng title;1956;98;СССР;драма;Захар Аграненко;Василий Макаров, Владимир Емельянов;7,3;1691
https://www.kinopoisk.ru//series/46138/;Битва за Москву;no eng title;1985;358;СССР;драма;Юрий Озеров;Яков Трипольский, Михаил Ульянов;8,2;20612
https://www.kinopoisk.ru//film/46139/;Битва за нашу Советскую Украину;no eng title;1943;71;СССР;документальный;Александр Довженко;no main roles;6,9;738
https://www.kinopoisk.ru//film/10790/;Битва за Россию;The Battle of Russia;1943;83;США;документальный;Фрэнк Капра;no main roles;7,8;1283
https://www.kinopoisk.ru//film/274766/;Блокада;no eng title;2005;52;Россия;документальный;Сергей Лозница;no main roles;8,0;5972
https://www.kinopoisk.ru//film/46149/;Блокада: Фильм 1: Лужский рубеж, Пулковский меридиан;no eng title;1974;185;СССР;драма;Михаил Ершов;Юрий Соломин, Евгений Лебедев;7,8;5323
https://www.kinopoisk.ru//film/46148/;Блокада: Фильм 2: Ленинградский метроном. Операция «Искра»;no eng title;1977;170;СССР;драма;Михаил Ершов;Юрий Соломин, Евгений Лебедев;7,7;1779
https://www.kinopoisk.ru//film/436263/;Брестская крепость;no eng title;2010;131;Беларусь;военный;Александр Котт;Алексей Копашов, Андрей Мерзликин;8,0;176318
https://www.kinopoisk.ru//film/77254/;Был месяц май;no eng title;1970;110;СССР;драма;Марлен Хуциев;Александр Аржиловский, Пётр Тодоровский;7,3;4964
https://www.kinopoisk.ru//film/41381/;В августе 44-го;no eng title;2001;118;Россия;боевик;Михаил Пташук;Евгений Миронов, Владислав Галкин;8,1;169333
